origin,destination,departure_time,arrival_time,duration,fare,nonstop,layovers
EWR,BOS,2024-12-01T21:20:00,2024-12-01T22:39:00,PT1H19M,108.97,True,None
EWR,BOS,2024-12-01T13:04:00,2024-12-01T14:25:00,PT1H21M,108.97,True,None
LGA,BOS,2024-12-01T06:30:00,2024-12-01T07:40:00,PT1H10M,250.87,True,None
LGA,BOS,2024-12-01T08:09:00,2024-12-01T09:20:00,PT1H11M,250.87,True,None
JFK,BOS,2024-12-01T23:30:00,2024-12-02T00:41:00,PT1H11M,250.87,True,None
JFK,BOS,2024-12-01T22:59:00,2024-12-02T00:14:00,PT1H15M,250.87,True,None
JFK,BOS,2024-12-01T17:10:00,2024-12-01T18:27:00,PT1H17M,250.87,True,None
JFK,BOS,2024-12-01T21:59:00,2024-12-01T23:16:00,PT1H17M,250.87,True,None
JFK,BOS,2024-12-01T20:29:00,2024-12-01T21:50:00,PT1H21M,250.87,True,None
JFK,BOS,2024-12-01T12:15:00,2024-12-01T13:25:00,PT1H10M,298.17,True,None
JFK,BOS,2024-12-01T09:50:00,2024-12-01T11:02:00,PT1H12M,384.17,True,None
LGA,BOS,2024-12-01T14:45:00,2024-12-01T15:57:00,PT1H12M,384.17,True,None
LGA,BOS,2024-12-01T10:59:00,2024-12-01T12:14:00,PT1H15M,384.17,True,None
LGA,BOS,2024-12-01T15:55:00,2024-12-01T17:12:00,PT1H17M,384.17,True,None
LGA,BOS,2024-12-01T17:30:00,2024-12-01T18:48:00,PT1H18M,384.17,True,None
EWR,BOS,2024-12-01T11:15:00,2024-12-01T12:26:00,PT1H11M,449.75,True,None
EWR,BOS,2024-12-01T21:59:00,2024-12-01T23:17:00,PT1H18M,449.75,True,None
EWR,BOS,2024-12-01T08:55:00,2024-12-01T10:11:00,PT1H16M,449.75,True,None
EWR,BOS,2024-12-01T14:00:00,2024-12-01T15:11:00,PT1H11M,598.1,True,None
EWR,BOS,2024-12-01T20:24:00,2024-12-01T21:39:00,PT1H15M,598.1,True,None
EWR,BOS,2024-12-01T15:59:00,2024-12-01T17:14:00,PT1H15M,598.1,True,None
LGA,BOS,2024-12-01T08:52:00,2024-12-01T14:52:00,PT6H,81.46,False,ATL
LGA,BOS,2024-12-01T17:40:00,2024-12-02T00:27:00,PT6H47M,81.46,False,ORD
EWR,BOS,2024-12-01T21:20:00,2024-12-01T22:39:00,PT1H19M,108.97,True,None
EWR,BOS,2024-12-01T13:04:00,2024-12-01T14:25:00,PT1H21M,108.97,True,None
